driverId,week,hours-logged,miles-logged
15,43,58,3700
62,16,74,2500
102,37,74,2800
26,17,71,2600
103,49,75,800
103,26,60,600
78,27,59,1900
84,41,71,1400
108,8,77,1800
31,21,65,3800
77,8,66,3600
84,33,69,2400
103,9,71,1000
48,24,74,1700
17,52,64,300
57,21,80,1300
53,42,57,1100
13,3,59,4000
34,3,65,200
57,51,64,2600
13,46,75,500
83,12,60,2300
102,22,51,700
49,29,76,3700
23,7,52,1800
94,45,62,3400
69,29,72,1100
79,13,53,1400
54,13,73,2400
71,23,50,2400
15,13,80,1200
68,5,74,3900
10,48,78,3100
79,16,78,3300
45,1,63,1800
105,49,77,3300
83,40,69,2000
104,24,70,3000
91,27,66,2100
15,34,52,1500
22,51,61,2500
14,48,56,800
71,33,56,500
26,6,70,1500
60,42,50,200
30,39,65,100
11,46,50,2600
97,35,54,3900
73,23,54,1400
26,23,64,1300
100,19,71,3100
27,41,67,3600
109,10,52,2300
53,30,78,1700
40,42,76,1900
41,5,73,3600
62,15,75,3400
70,9,56,2600
25,3,71,2000
60,51,59,2200
79,14,51,2200
73,48,68,3200
52,32,70,3500
16,15,77,3900
92,8,67,2700
96,25,56,200
33,40,68,2200
17,39,69,600
61,11,64,3700
101,44,72,1400
74,20,71,3200
43,47,66,1200
102,32,66,1000
67,8,73,2200
33,4,54,700
77,1,72,2000
81,14,80,1400
12,45,73,200
69,33,54,1200
53,31,63,2400
39,36,78,500
22,31,55,300
70,42,65,1200
85,42,70,400
24,45,59,1000
79,34,76,2100
34,49,57,2800
39,49,62,2200
85,47,62,400
41,48,66,1500
87,29,63,600
27,49,50,2100
28,5,75,900
88,10,66,300
11,27,58,1200
38,35,50,200
36,3,72,2500
15,45,53,3800
10,15,77,1900
28,37,57,800
64,3,58,3900
98,27,57,2300
75,29,73,1600
20,27,50,3700
10,29,61,3700
53,33,76,1900
56,5,58,300
75,49,71,1800
19,17,57,3300
42,21,67,2800
78,5,50,100
108,4,67,3300
17,49,51,400
94,29,66,3600
16,47,60,3800
68,27,61,2700
10,48,74,1500
36,36,75,3800
31,32,67,3700
49,38,52,3500
109,45,67,700
72,25,65,3200
77,8,56,3400
11,41,58,200
32,9,75,700
27,37,73,900
102,7,73,1700
22,19,51,1000
11,33,60,3100
30,10,72,1200
97,15,50,500
59,2,52,2700
61,7,50,400
36,3,78,1500
71,43,75,3300
32,6,66,3800
27,8,70,1600
52,41,67,3500
83,23,64,400
67,15,61,1300
38,25,62,3800
87,7,59,3200
66,32,53,3700
14,29,59,1400
88,7,78,1900
26,11,55,1600
14,31,65,2300
56,11,75,1100
35,13,73,1900
13,40,72,500
18,26,72,3100
35,15,69,3300
58,10,50,100
80,51,52,3000
83,51,52,2300
68,23,74,2200
103,30,63,1100
73,10,59,500
51,39,78,1400
79,6,67,3500
73,17,56,400
69,10,58,700
81,34,59,3100
23,4,68,2500
105,40,74,600
79,14,67,2700
48,31,58,1000
21,7,56,2800
40,22,60,2200
42,30,54,3700
13,3,53,3400
19,29,74,2900
49,51,71,1300
86,31,68,2900
78,26,77,0
35,28,73,4000
57,5,52,200
83,15,57,2900
68,8,69,1900
100,1,58,700
45,17,63,2400
36,33,63,3700
18,44,79,500
11,15,64,3700
26,43,59,1800
100,28,80,200
36,14,70,300
84,31,71,300
81,21,64,3700
56,43,55,1600
42,7,65,3400
94,19,62,3600
101,49,71,500
18,41,70,1000
28,17,68,2800
84,32,62,3100
97,28,50,0
84,48,75,300
10,8,62,2100
100,50,79,2200
30,8,62,3800
78,38,52,600
101,12,76,2800
36,15,52,3900
28,36,60,100
74,46,78,3700
51,44,58,1300
24,27,72,500
85,32,53,300
93,2,54,2000
51,49,56,2100
27,38,67,700
45,37,69,100
31,2,72,3900
65,45,79,3500
20,47,67,1900
64,33,60,3700
57,1,79,900
77,5,74,1100
38,14,73,1600
80,24,79,500
59,4,64,1800
79,32,62,2000
103,48,75,3400
84,6,58,300
86,20,61,300
24,49,54,500
71,41,78,400
11,26,51,100
25,2,51,700
97,50,61,2600
87,18,57,600
35,14,63,1600
73,51,80,3000
107,24,78,2700
18,45,68,2900
101,34,56,700
68,26,62,300
76,41,55,800
43,40,79,3000
99,20,50,2500
82,38,79,2000
65,10,63,300
80,31,71,1900
94,38,56,3400
85,22,61,3600
80,45,56,2500
87,24,76,3300
31,17,66,400
43,44,78,3100
38,32,56,3700
73,34,62,200
61,19,66,1500
43,11,51,600
77,11,56,1900
60,35,65,100
65,31,62,200
12,3,50,100
97,52,56,100
106,1,53,3900
29,49,50,2600
47,18,61,3300
95,7,61,300
16,6,75,2400
25,43,73,200
37,52,51,3900
81,13,68,700
38,28,59,2700
102,25,76,3400
50,8,73,2000
21,11,79,1600
26,2,79,3500
78,48,60,3800
15,23,65,3500
59,49,69,3700
78,1,52,3400
30,49,69,1600
22,6,77,500
72,45,73,700
101,8,63,700
109,35,70,4000
87,36,62,3400
108,32,74,1200
17,30,61,2400
77,32,65,3800
101,42,76,2200
58,26,67,3900
98,16,70,900
29,6,67,3400
67,18,78,2400
11,28,78,500
29,17,56,700
106,28,79,4000
63,14,69,3600
30,34,74,3000
18,28,68,500
72,41,70,2300
80,5,79,2800
53,22,61,900
16,52,65,3600
27,20,79,2100
101,32,50,2600
72,37,58,3400
47,26,72,2700
93,31,65,800
65,33,71,2100
91,25,75,3600
86,29,68,3400
97,46,60,2000
100,40,76,4000
21,50,72,3800
46,30,73,200
81,25,53,1100
68,22,50,900
91,33,54,1700
23,12,70,200
17,18,69,700
79,50,67,1100
108,42,50,2500
32,22,62,1900
62,28,80,1900
92,33,68,600
29,33,56,2900
92,37,76,1500
29,3,80,800
64,52,53,3300
20,32,65,3800
92,19,74,500
89,27,61,200
37,42,61,200
28,32,57,2700
103,37,60,1900
15,18,68,1900
89,19,73,1300
85,5,60,3200
37,44,74,3400
41,5,50,2200
30,18,73,1600
60,47,70,1400
76,49,73,200
57,32,72,3500
20,48,58,1600
53,47,58,2200
35,35,60,3000
78,37,67,1400
30,27,51,2600
45,11,76,1500
81,36,72,3600
69,12,58,2300
11,42,66,1100
96,11,70,300
29,51,72,200
50,21,61,200
54,16,67,3800
69,22,71,4000
25,45,80,600
37,49,72,2400
34,19,71,3100
47,10,55,2200
19,38,62,3700
37,37,50,3000
89,52,72,1400
91,52,52,2700
23,42,51,3800
89,32,55,2900
35,14,64,100
76,10,54,3000
84,47,67,2100
81,16,72,3500
24,18,72,3200
48,23,54,3600
18,10,56,1300
76,51,71,1900
34,25,53,1800
91,16,56,300
65,40,79,2300
66,20,70,2800
10,31,77,1600
85,3,52,3900
32,21,61,100
93,22,52,2000
93,51,66,1000
51,47,66,0
107,4,60,1100
89,51,70,3900
39,25,50,2800
102,12,51,500
27,1,69,1600
